Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident
420,1,0,1,0,0,0,0,3,3,2,9,6,5,1,0,0,3,2,3,2,2,2,3,2,5,3,7,5,5,9
420,1,1,1,4,0,3,11,3,2,2,6,4,5,1,0,0,3,2,8,2,2,2,3,2,5,3,7,5,5,16
420,1,0,1,4,0,0,5,3,6,2,1,7,9,1,0,0,3,2,2,2,2,2,0,1,1,2,0,5,5,0
594,3,0,1,4,0,2,11,0,6,2,6,7,6,7,2,0,0,2,8,2,2,2,2,0,0,2,0,2,5,1
594,3,0,1,4,0,1,17,3,2,2,4,7,5,7,0,0,0,2,8,2,2,2,3,2,5,3,7,5,5,16
265,0,1,1,7,3,6,17,4,6,3,14,6,9,7,5,0,3,2,8,1,1,10,0,1,1,2,0,2,5,14
448,6,0,1,4,0,1,0,3,6,2,9,4,5,0,5,0,3,2,8,1,1,3,0,0,0,2,0,2,5,13
438,0,0,1,4,0,1,0,0,3,2,9,7,5,7,0,0,3,2,8,2,1,10,3,2,5,3,7,2,5,12
438,0,0,1,4,0,3,5,3,0,2,4,7,5,7,2,0,3,2,3,2,1,2,2,1,4,2,0,2,0,1
438,0,0,1,4,0,0,0,3,1,2,9,4,5,7,0,0,3,2,3,2,1,10,1,1,0,2,0,2,5,9
290,2,0,1,0,2,0,10,3,5,2,9,7,5,1,0,0,3,2,0,2,1,9,3,2,5,3,7,2,5,0
290,2,1,1,0,0,5,0,3,6,2,6,4,5,1,2,0,3,2,0,2,1,2,0,1,0,2,0,2,5,11
463,4,0,1,4,0,0,11,3,1,2,6,0,0,1,0,0,3,2,0,2,2,2,3,2,5,3,0,2,5,10
463,4,1,1,4,0,2,5,3,3,2,6,7,5,1,0,0,3,2,0,2,2,12,3,2,5,3,2,2,5,12
463,4,1,1,4,0,3,0,3,0,2,6,4,0,1,0,0,3,2,0,2,2,2,0,0,0,2,0,2,5,10
743,1,0,0,4,0,3,4,3,6,2,6,1,5,7,0,3,0,4,0,2,3,2,3,2,5,3,7,5,5,10
743,1,0,1,4,2,2,10,3,6,2,6,4,5,7,0,3,0,4,0,2,3,2,3,2,5,3,0,2,5,9
743,1,0,1,1,0,1,10,3,6,2,6,7,5,7,0,3,0,4,0,2,3,2,3,2,5,3,0,2,5,1
743,1,0,1,4,0,1,17,3,3,2,9,7,5,7,0,3,0,4,0,2,3,3,3,2,5,3,5,2,5,11
985,5,0,1,4,0,4,3,3,2,2,9,1,5,7,0,0,3,2,0,2,1,2,0,1,4,2,0,2,5,9
