Area_accident_occured,count,mean
Recreational areas,1,2.0
Rural village areasOffice areas,20,1.3
Unknown,22,1.2727272727272727
  Market areas,63,1.2063492063492063
Residential areas,2060,1.1932038834951457
 Outside rural areas,218,1.1926605504587156
  Recreational areas,327,1.1681957186544343
Other,3819,1.165488347735009
Office areas,3451,1.1602434077079107
 Industrial areas,456,1.1578947368421053
School areas,415,1.1542168674698796
 Church areas,1060,1.1518867924528302
 Hospital areas,121,1.0991735537190082
Rural village areas,44,1.0909090909090908
